trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,7,-25.06872903725198,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,8,27.47608054311688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,8,20.290177210952535,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",25,0,-37.92689154791569,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",20,15,10.445747448027308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,15,0.9877616866834555,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",30,14,18.738168386468693,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,2,-32.9171589391439,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,0,6.635192982090098,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,13,13.117427885553344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,14,1.740320919956019,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,10,-38.80254567547366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",30,21,15.64873370730262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",25,15,6.4632987094381456,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",30,17,-50.98617280515285,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,0,-4.585676535861753,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,2,18.575378771520363,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,11,-4.765806028505237,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,10,-45.937953341386645,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",30,20,-105.96042761701028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 3}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",25,0,10.045721277122684,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",30,12,22.23671133595213,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,2,31.014398922906075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",30,4,-64.46427899949865,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,16,9.291613537634628,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",30,0,11.827220764367652,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,12,5.648500075253214,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,6,-52.54141059126015,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",20,0,0.42813139754577034,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",30,8,-12.792593620364535,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",25,6,29.959625553130305,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,11,3.7773368757671815,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,3,13.79070098955315,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,0,29.556308243080274,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,4,12.420493933213791,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,15,0.5801744192320344,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",30,15,-38.52413986874002,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,8,0.8679371944670453,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,9,19.814425036746364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,11,-5.931245676129162,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
