trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
195,False,"{'a': 0.5, 'e': 0.14088441290426768}",25,10,23.53349090529752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.139475568775225}",20,8,-18.011576519599007,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747275}",25,19,12.948898013430654,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.136700004956598}",25,6,19.759846467829508,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703204}",25,0,14.693611077549848,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
200,False,"{'a': 0.5, 'e': 0.13397967485796172}",25,13,-25.194016358655638,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.1326398781093821}",35,20,4.242694668202535,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.13131347932828827}",25,17,12.882489722528838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.1300003445350054}",30,8,21.315077904982,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.12870034108965533}",20,9,0.5426157638545259,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.1274133376787588}",35,21,-40.654860055751236,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
206,False,"{'a': 0.5, 'e': 0.12613920430197118}",20,0,-19.28587041693898,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.12487781225895148}",20,0,13.72292296794449,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,13,12.467104031769217,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,4,32.90370726174404,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,13,20.398494288258306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347787}",35,23,20.009767692757794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154309}",20,5,11.92146593879683,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,0,-25.39311365549611,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
214,False,"{'a': 0.5, 'e': 0.11639428152900338}",25,17,15.870354566906924,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371334}",20,6,17.803004570813172,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.1140780353265762}",20,0,-18.116314589964333,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331045}",25,20,8.952114408678566,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11180788242357734}",20,2,28.562987015732382,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934157}",20,11,10.502533615880754,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334815}",25,0,19.251799434441526,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.10848707650771466}",25,10,22.03525106771778,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10740220574263752}",25,3,13.506990423253542,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521114}",35,19,23.819860190914735,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835903}",20,0,3.0042714228472653,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,6,21.51109384887364,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157669}",30,12,-7.963393424376201,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856092}",20,15,9.63446440121239,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857531}",20,8,25.14391725294101,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
