trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,11,8.783164242580622,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",20,0,5.1527642573554155,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",25,10,-16.297702776362037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347787}",20,11,18.23014405210839,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154309}",20,0,-54.091945946890036,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,10,15.510912528488587,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900338}",25,7,11.541166504169805,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371334}",20,4,16.754197162123347,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.1140780353265762}",25,12,21.196780103570042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331045}",20,12,-0.2642276682610385,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11180788242357734}",20,12,14.94894427136918,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934157}",20,0,-12.955161495842558,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
220,False,"{'a': 0.5, 'e': 0.10958290556334815}",25,10,13.865054663296181,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10848707650771466}",35,25,7.448902986067218,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.10740220574263752}",20,3,27.216172814068106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521114}",20,9,2.5126215055529486,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835903}",20,0,31.103145458778098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,12,10.32222877490741,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157669}",35,0,12.613661610452105,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
227,False,"{'a': 0.5, 'e': 0.10213842899856092}",30,24,11.603388069994889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857531}",25,11,25.45872650708029,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148955}",25,1,40.03547735019362,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,10,-42.771339872484546,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
231,False,"{'a': 0.5, 'e': 0.0981137673636859}",20,14,10.154928665205547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004904}",20,0,-77.87912160929181,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
233,False,"{'a': 0.5, 'e': 0.09616130339314856}",25,15,6.511701140419738,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921708}",25,12,12.185695148650936,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,12,14.618125408970709,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106866}",20,12,11.09747356439241,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585796}",25,14,-5.168223380915359,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229938}",20,0,18.200386075660123,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.0905339582851764}",30,15,12.329433647354437,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232462}",25,14,7.346536678499049,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
